;;;;
bewolkt. Doeken open. 4500 lux;;;;
;open;wit;transparant;open
544;6,99976E-02;9,00505E-03;6,38428E-02;7,23470E-02
545;7,17318E-02;9,45174E-03;6,52931E-02;7,37132E-02
546;7,19040E-02;9,67979E-03;6,62497E-02;7,50801E-02
547;7,38541E-02;1,01592E-02;6,80845E-02;7,50465E-02
548;7,52566E-02;1,02029E-02;6,87046E-02;7,64000E-02
549;7,98016E-02;1,06993E-02;7,09524E-02;7,96547E-02
550;8,36425E-02;1,10252E-02;7,41779E-02;8,36185E-02
551;8,62207E-02;1,17532E-02;7,78894E-02;8,70131E-02
552;8,83645E-02;1,19783E-02;8,04049E-02;8,96912E-02
553;9,25840E-02;1,22668E-02;8,28627E-02;9,26772E-02
554;9,63136E-02;1,26785E-02;8,62237E-02;9,79579E-02
555;1,02067E-01;1,39054E-02;8,97537E-02;1,05132E-01
556;1,11687E-01;1,49722E-02;9,89612E-02;1,11617E-01
557;1,21657E-01;1,60365E-02;1,08804E-01;1,22632E-01
558;1,32578E-01;1,79740E-02;1,16651E-01;1,34193E-01
559;1,41137E-01;1,89311E-02;1,22490E-01;1,42883E-01
560;1,47255E-01;1,97598E-02;1,27884E-01;1,46870E-01
561;1,48315E-01;2,00729E-02;1,30591E-01;1,49357E-01
562;1,49388E-01;1,97790E-02;1,30543E-01;1,49026E-01
563;1,50670E-01;2,01289E-02;1,31302E-01;1,50892E-01
564;1,55429E-01;2,06675E-02;1,35964E-01;1,55203E-01
565;1,70970E-01;2,22512E-02;1,48337E-01;1,69635E-01
566;2,12492E-01;2,75710E-02;1,83170E-01;2,10216E-01
567;2,73461E-01;3,56767E-02;2,35837E-01;2,71344E-01
568;3,08670E-01;4,04824E-02;2,63121E-01;3,07193E-01
569;3,00757E-01;3,90119E-02;2,57726E-01;3,01544E-01
570;2,52289E-01;3,25836E-02;2,14141E-01;2,48634E-01
571;2,00249E-01;2,54076E-02;1,73178E-01;1,99909E-01
572;1,75817E-01;2,26631E-02;1,51747E-01;1,75103E-01
573;1,66096E-01;2,11735E-02;1,43606E-01;1,64986E-01
574;1,66392E-01;2,08532E-02;1,44757E-01;1,65011E-01
575;1,69214E-01;2,16357E-02;1,47167E-01;1,68244E-01
576;1,76385E-01;2,24469E-02;1,52015E-01;1,75551E-01
577;1,83311E-01;2,35399E-02;1,57969E-01;1,82242E-01
578;1,93029E-01;2,41509E-02;1,65046E-01;1,92482E-01
579;2,02586E-01;2,56945E-02;1,74377E-01;2,04121E-01
580;2,15697E-01;2,72186E-02;1,85765E-01;2,14943E-01
581;2,29307E-01;2,85594E-02;1,95851E-01;2,28195E-01
582;2,43459E-01;3,03533E-02;2,06489E-01;2,41256E-01
583;2,51844E-01;3,12539E-02;2,16886E-01;2,51040E-01
584;2,47984E-01;3,13262E-02;2,12425E-01;2,46228E-01
585;2,24373E-01;2,79068E-02;1,92512E-01;2,24600E-01
586;1,80657E-01;2,25034E-02;1,53513E-01;1,80100E-01
587;1,28097E-01;1,60236E-02;1,09766E-01;1,27473E-01
588;8,59678E-02;1,08085E-02;7,55412E-02;8,71640E-02
589;6,79578E-02;8,69567E-03;6,09761E-02;7,03848E-02
590;7,27329E-02;9,26319E-03;6,53077E-02;7,39337E-02
591;9,96357E-02;1,26127E-02;8,61882E-02;1,01059E-01
592;1,41066E-01;1,73661E-02;1,20014E-01;1,39637E-01
593;1,84026E-01;2,30932E-02;1,57599E-01;1,85519E-01
594;2,20979E-01;2,73175E-02;1,86081E-01;2,21014E-01
595;2,41978E-01;2,99372E-02;2,05187E-01;2,39952E-01
596;2,51654E-01;3,13609E-02;2,14461E-01;2,50263E-01
597;2,55160E-01;3,17636E-02;2,16311E-01;2,51987E-01
598;2,49245E-01;3,16971E-02;2,14036E-01;2,50334E-01
599;2,45183E-01;3,02990E-02;2,09322E-01;2,45077E-01
600;2,40221E-01;2,98490E-02;2,03862E-01;2,36772E-01
601;2,30856E-01;2,91445E-02;1,98254E-01;2,30136E-01
602;2,24474E-01;2,85540E-02;1,92261E-01;2,24686E-01
603;2,19902E-01;2,73221E-02;1,87126E-01;2,16846E-01
604;2,10136E-01;2,63808E-02;1,80365E-01;2,10169E-01
605;2,03372E-01;2,56510E-02;1,73961E-01;2,02191E-01
606;1,97302E-01;2,45839E-02;1,69095E-01;1,95910E-01
607;1,90591E-01;2,39486E-02;1,63820E-01;1,89467E-01
608;1,84079E-01;2,29604E-02;1,57963E-01;1,82368E-01
609;1,76091E-01;2,21191E-02;1,52806E-01;1,77004E-01
610;1,71620E-01;2,14453E-02;1,49541E-01;1,72636E-01
611;1,66692E-01;2,09351E-02;1,43297E-01;1,65370E-01
612;1,63478E-01;2,02224E-02;1,41452E-01;1,62915E-01
613;1,68025E-01;2,07355E-02;1,44273E-01;1,67523E-01
614;1,83103E-01;2,28279E-02;1,56764E-01;1,83855E-01
615;1,95861E-01;2,44530E-02;1,68170E-01;1,95327E-01
616;1,91527E-01;2,38896E-02;1,65259E-01;1,89805E-01
617;1,72773E-01;2,14636E-02;1,48984E-01;1,72887E-01
618;1,53410E-01;1,90517E-02;1,32057E-01;1,52235E-01
619;1,42387E-01;1,73383E-02;1,22379E-01;1,41193E-01
620;1,37538E-01;1,69365E-02;1,19084E-01;1,36070E-01
621;1,32313E-01;1,62620E-02;1,14158E-01;1,32685E-01
622;1,28940E-01;1,59573E-02;1,12515E-01;1,31398E-01
623;1,25962E-01;1,57035E-02;1,08732E-01;1,27563E-01
624;1,24791E-01;1,55637E-02;1,08072E-01;1,25228E-01
625;1,20708E-01;1,48418E-02;1,05553E-01;1,21542E-01
626;1,19794E-01;1,45260E-02;1,02703E-01;1,18112E-01
627;1,15818E-01;1,45024E-02;1,00353E-01;1,17655E-01
628;1,14810E-01;1,41361E-02;9,89664E-02;1,14332E-01
629;1,12312E-01;1,40716E-02;9,83253E-02;1,12676E-01
630;1,10638E-01;1,36776E-02;9,66234E-02;1,11897E-01
631;1,11710E-01;1,38855E-02;9,60612E-02;1,10606E-01
632;1,08338E-01;1,36204E-02;9,51040E-02;1,10068E-01
633;1,07372E-01;1,34404E-02;9,37611E-02;1,07662E-01
634;1,07499E-01;1,32860E-02;9,16057E-02;1,07655E-01
635;1,07012E-01;1,32822E-02;9,25530E-02;1,05870E-01
636;1,05753E-01;1,30065E-02;9,20625E-02;1,07017E-01
637;1,04597E-01;1,32461E-02;9,16539E-02;1,06323E-01
638;1,02827E-01;1,27738E-02;9,08271E-02;1,04542E-01
639;1,01309E-01;1,26027E-02;9,00582E-02;1,02575E-01
640;1,01766E-01;1,23211E-02;8,88758E-02;1,02366E-01
641;1,00017E-01;1,24889E-02;8,76696E-02;1,00864E-01
642;9,85740E-02;1,24316E-02;8,77733E-02;1,00608E-01
643;9,79508E-02;1,22475E-02;8,54774E-02;9,89021E-02
644;9,73928E-02;1,17054E-02;8,41362E-02;9,75178E-02
