,,,,,,
,,,,,,
,,,,,,
Name,#5,#6,#1,Kas 4,#3,#4
Correction,UV,UV,UV,UV,UV,UV
Date,03/02/2017,03/02/2017,03/02/2017,03/02/2017,03/02/2017,03/02/2017
427,1.19185E-03,3.62002E-02,1.44566E-03,3.29177E-03,1.06771E-02,2.99515E-02
428,1.21984E-03,3.97778E-02,1.43508E-03,3.52400E-03,1.03572E-02,2.87854E-02
429,1.20570E-03,4.35195E-02,1.36643E-03,3.71042E-03,9.61236E-03,2.67806E-02
430,1.25181E-03,4.70130E-02,1.48557E-03,4.01392E-03,9.61979E-03,2.65174E-02
431,1.40736E-03,5.16648E-02,1.67797E-03,4.41704E-03,1.02561E-02,2.83668E-02
432,1.60139E-03,5.64355E-02,1.95162E-03,4.75447E-03,1.10626E-02,3.05125E-02
433,3.25195E-03,6.16618E-02,3.86124E-03,5.22509E-03,1.15088E-02,3.12876E-02
434,1.14179E-02,6.79012E-02,1.39658E-02,5.99426E-03,1.24453E-02,3.21108E-02
435,1.67804E-02,7.41988E-02,2.05111E-02,6.67034E-03,1.33983E-02,3.33297E-02
436,1.50886E-02,8.00288E-02,1.87265E-02,6.99232E-03,1.33603E-02,3.33390E-02
437,7.04573E-03,8.66502E-02,8.90431E-03,7.17158E-03,1.25685E-02,3.30412E-02
438,2.21470E-03,9.25464E-02,2.81216E-03,7.34930E-03,1.18033E-02,3.19268E-02
439,1.64143E-03,9.98864E-02,2.05876E-03,7.86516E-03,1.18431E-02,3.21244E-02
440,1.60256E-03,1.07681E-01,2.07823E-03,8.37575E-03,1.23626E-02,3.33815E-02
441,1.65932E-03,1.15812E-01,2.21742E-03,9.00541E-03,1.28112E-02,3.46016E-02
442,1.68024E-03,1.24245E-01,2.15356E-03,9.56623E-03,1.31882E-02,3.52225E-02
443,1.76185E-03,1.31570E-01,2.24973E-03,1.01151E-02,1.32580E-02,3.56105E-02
444,1.71386E-03,1.38213E-01,2.31769E-03,1.05588E-02,1.31420E-02,3.52129E-02
445,1.72033E-03,1.43351E-01,2.31558E-03,1.09216E-02,1.31288E-02,3.48834E-02
446,1.74708E-03,1.46666E-01,2.37335E-03,1.11656E-02,1.33167E-02,3.55250E-02
447,1.73464E-03,1.46840E-01,2.34715E-03,1.13188E-02,1.36495E-02,3.61858E-02
448,1.82997E-03,1.44720E-01,2.40523E-03,1.11801E-02,1.39851E-02,3.70671E-02
449,1.86048E-03,1.39383E-01,2.41062E-03,1.08814E-02,1.42915E-02,3.77962E-02
450,1.84079E-03,1.30936E-01,2.39489E-03,1.04128E-02,1.45484E-02,3.83170E-02
451,1.85916E-03,1.20844E-01,2.38512E-03,9.73042E-03,1.44168E-02,3.78496E-02
452,1.83772E-03,1.08664E-01,2.38540E-03,8.92191E-03,1.40976E-02,3.68534E-02
453,1.83437E-03,9.69876E-02,2.34765E-03,8.08536E-03,1.39355E-02,3.65742E-02
454,1.82471E-03,8.51535E-02,2.33139E-03,7.33997E-03,1.41258E-02,3.67357E-02
455,1.85153E-03,7.44845E-02,2.27552E-03,6.63500E-03,1.44133E-02,3.74367E-02
456,1.88895E-03,6.50734E-02,2.21476E-03,5.92092E-03,1.44523E-02,3.75114E-02
457,1.80467E-03,5.69566E-02,2.18738E-03,5.38418E-03,1.44524E-02,3.73565E-02
458,1.85682E-03,5.08772E-02,2.22531E-03,4.91788E-03,1.43694E-02,3.70861E-02
459,1.82097E-03,4.59081E-02,2.21080E-03,4.55766E-03,1.43304E-02,3.67614E-02
460,1.87015E-03,4.14368E-02,2.18148E-03,4.26171E-03,1.44398E-02,3.69580E-02
461,1.81361E-03,3.80396E-02,2.19383E-03,4.07714E-03,1.45857E-02,3.74088E-02
462,1.85536E-03,3.50859E-02,2.23997E-03,3.80893E-03,1.46598E-02,3.73600E-02
463,1.86639E-03,3.24204E-02,2.13060E-03,3.61159E-03,1.45084E-02,3.68996E-02
464,1.86092E-03,2.98181E-02,2.16957E-03,3.45653E-03,1.44831E-02,3.66714E-02
465,1.84783E-03,2.74617E-02,2.17169E-03,3.28978E-03,1.44392E-02,3.64983E-02
466,1.81396E-03,2.50752E-02,2.09725E-03,3.08930E-03,1.42910E-02,3.60495E-02
467,1.81077E-03,2.28750E-02,2.15358E-03,2.94890E-03,1.42464E-02,3.59213E-02
468,1.83645E-03,2.07553E-02,2.09018E-03,2.84036E-03,1.42777E-02,3.59825E-02
469,1.78140E-03,1.87705E-02,2.04168E-03,2.66795E-03,1.42208E-02,3.56887E-02
470,1.75860E-03,1.71216E-02,2.00871E-03,2.54327E-03,1.43163E-02,3.57759E-02
471,1.79098E-03,1.55750E-02,1.99402E-03,2.42308E-03,1.43792E-02,3.57932E-02
472,1.82805E-03,1.44726E-02,2.03150E-03,2.35492E-03,1.45804E-02,3.61488E-02
473,1.77754E-03,1.32233E-02,1.99921E-03,2.26286E-03,1.45126E-02,3.59114E-02
474,1.72707E-03,1.23251E-02,1.96028E-03,2.18884E-03,1.43703E-02,3.54957E-02
475,1.66933E-03,1.17293E-02,1.96284E-03,2.13152E-03,1.42728E-02,3.52326E-02
476,1.68655E-03,1.11926E-02,1.85412E-03,2.07890E-03,1.41946E-02,3.50542E-02
477,1.76799E-03,1.07744E-02,1.93227E-03,2.05460E-03,1.43815E-02,3.52102E-02
478,1.77674E-03,1.04262E-02,2.02188E-03,2.07527E-03,1.44991E-02,3.53434E-02
479,1.90859E-03,1.02694E-02,2.18355E-03,2.06847E-03,1.46132E-02,3.54621E-02
480,2.12008E-03,1.01473E-02,2.31047E-03,2.07792E-03,1.46894E-02,3.57117E-02
481,2.40468E-03,1.02220E-02,2.72684E-03,2.10466E-03,1.48139E-02,3.57614E-02
482,3.01599E-03,1.01579E-02,3.50639E-03,2.12940E-03,1.48278E-02,3.55481E-02
483,3.92913E-03,1.03338E-02,4.61340E-03,2.14606E-03,1.47329E-02,3.50908E-02
484,5.07057E-03,1.06067E-02,6.00255E-03,2.13162E-03,1.42488E-02,3.34766E-02
485,6.15249E-03,1.07817E-02,7.37522E-03,2.15066E-03,1.36790E-02,3.19001E-02
486,6.95776E-03,1.11595E-02,8.34989E-03,2.17588E-03,1.35529E-02,3.14745E-02
487,7.18374E-03,1.16368E-02,8.63828E-03,2.22454E-03,1.38318E-02,3.19321E-02
488,7.14583E-03,1.21759E-02,8.51458E-03,2.31670E-03,1.44113E-02,3.33564E-02
489,6.88607E-03,1.28235E-02,8.27761E-03,2.39013E-03,1.47121E-02,3.39356E-02
490,6.46105E-03,1.34247E-02,7.71664E-03,2.41314E-03,1.46040E-02,3.37918E-02
491,5.90433E-03,1.43610E-02,7.15710E-03,2.44510E-03,1.45249E-02,3.35321E-02
492,5.50616E-03,1.54541E-02,6.57296E-03,2.50058E-03,1.44132E-02,3.33150E-02
493,5.08169E-03,1.65448E-02,6.08283E-03,2.59301E-03,1.45072E-02,3.35806E-02
494,4.74301E-03,1.78135E-02,5.62886E-03,2.65697E-03,1.46090E-02,3.38857E-02
495,4.36395E-03,1.92828E-02,5.20233E-03,2.76129E-03,1.46829E-02,3.39220E-02
496,4.18084E-03,2.08824E-02,4.88140E-03,2.86838E-03,1.45337E-02,3.36723E-02
497,3.91598E-03,2.26466E-02,4.58111E-03,2.98128E-03,1.44290E-02,3.33693E-02
498,3.44088E-03,2.44469E-02,4.02853E-03,3.07257E-03,1.41642E-02,3.27074E-02
499,2.95415E-03,2.65294E-02,3.45337E-03,3.16891E-03,1.39066E-02,3.22188E-02
500,2.48582E-03,2.85021E-02,2.86181E-03,3.25925E-03,1.35639E-02,3.14603E-02
501,2.13652E-03,3.07443E-02,2.43214E-03,3.36560E-03,1.33736E-02,3.10239E-02
502,1.96733E-03,3.30169E-02,2.16288E-03,3.54937E-03,1.32628E-02,3.08178E-02
503,1.79411E-03,3.54536E-02,2.00054E-03,3.68264E-03,1.32754E-02,3.07540E-02
504,1.70781E-03,3.80460E-02,1.94584E-03,3.88324E-03,1.33557E-02,3.10088E-02
505,1.65397E-03,4.05768E-02,1.86684E-03,4.07340E-03,1.34991E-02,3.13118E-02
506,1.60884E-03,4.30011E-02,1.80993E-03,4.26430E-03,1.35299E-02,3.12397E-02
507,1.62241E-03,4.57851E-02,1.79097E-03,4.43280E-03,1.34010E-02,3.10566E-02
508,1.62713E-03,4.83327E-02,1.76316E-03,4.62633E-03,1.34443E-02,3.09830E-02
509,1.64134E-03,5.11092E-02,1.80287E-03,4.79800E-03,1.34668E-02,3.10000E-02
510,1.64178E-03,5.37644E-02,1.79969E-03,5.00843E-03,1.35579E-02,3.11104E-02
511,1.67309E-03,5.64813E-02,1.86108E-03,5.20045E-03,1.35104E-02,3.09536E-02
512,1.62645E-03,5.90028E-02,1.88562E-03,5.34480E-03,1.32841E-02,3.05757E-02
513,1.62277E-03,6.13960E-02,1.81364E-03,5.48773E-03,1.30724E-02,3.00302E-02
514,1.58519E-03,6.40792E-02,1.86412E-03,5.65798E-03,1.29732E-02,2.96830E-02
515,1.50652E-03,6.63967E-02,1.78322E-03,5.78852E-03,1.25243E-02,2.87101E-02
516,1.52474E-03,6.86925E-02,1.76691E-03,5.89651E-03,1.21149E-02,2.77045E-02
517,1.45506E-03,7.07059E-02,1.72560E-03,6.01336E-03,1.18403E-02,2.70623E-02
518,1.47065E-03,7.29006E-02,1.73297E-03,6.21459E-03,1.20301E-02,2.75467E-02
519,1.52173E-03,7.52703E-02,1.76512E-03,6.39688E-03,1.23885E-02,2.83333E-02
520,1.55838E-03,7.70983E-02,1.76807E-03,6.55783E-03,1.26384E-02,2.89393E-02
521,1.50672E-03,7.89765E-02,1.78436E-03,6.70303E-03,1.27007E-02,2.89338E-02
522,1.49691E-03,8.05644E-02,1.81351E-03,6.81108E-03,1.26774E-02,2.89328E-02
523,1.49296E-03,8.25629E-02,1.80287E-03,6.90655E-03,1.27112E-02,2.90328E-02
524,1.49870E-03,8.37975E-02,1.81468E-03,7.02209E-03,1.26223E-02,2.88080E-02
525,1.44243E-03,8.53353E-02,1.73736E-03,7.12400E-03,1.22062E-02,2.79145E-02
